Genus[7][8][9][b],Meaning or derivation,Family[4],Order[4],C,G
Stachytarpheta,thick spikes,Verbenaceae,Lamiales,,G
Stachyurus,spike tail (the inflorescences)[4],Stachyuraceae,Crossosomatales,C,G
Staphylea,clusters (of flowers)[4],Staphyleaceae,Crossosomatales,C,G
Stelis,Greek name,Orchidaceae,Asparagales,,
Stellaria,Latin: star (the flowers),Caryophyllaceae,Caryophyllales,,G
Stenandrium,narrow male parts (the stamens),Acanthaceae,Lamiales,,
Stenanthium,narrow flower (sepals and petals),Melanthiaceae,Liliales,,G
Stenocarpus,narrow fruit,Proteaceae,Proteales,,G
Stenoglottis,narrow (lip) tongue,Orchidaceae,Asparagales,,G
Stenospermation,narrow seedlet,Araceae,Alismatales,,
Stenotaphrum,narrow trench (on the stalks),Poaceae,Poales,,G
Stephanotis,Greek name,Apocynaceae,Gentianales,,G
Sterculia,Sterquilinus,Malvaceae,Malvales,,G
Stictocardia,spotted heart (-shaped leaves),Convolvulaceae,Solanales,,G
Stigmaphyllon,leafy stigma,Malpighiaceae,Malpighiales,,G
Stipa,tow,Poaceae,Poales,C,G
Stomatium,mouth,Aizoaceae,Caryophyllales,,G
Stratiotes,Greek and Latin name,Hydrocharitaceae,Alismatales,,G
Streptocarpus,twisted fruit,Gesneriaceae,Lamiales,C,G
Streptopus,twisted stalks,Liliaceae,Liliales,,G
Streptosolen,twisted (corolla) tubes,Solanaceae,Solanales,,G
Strobilanthes,cone of flowers,Acanthaceae,Lamiales,C,G
Stromanthe,bed of flowers (the inflorescences),Marantaceae,Zingiberales,,G
Strombocactus,spinning-top cactus,Cactaceae,Caryophyllales,,G
Strongylodon,rounded (calyx) teeth,Fabaceae,Fabales,,
Strophanthus,cord flowers,Apocynaceae,Gentianales,,G
Strychnos,Greek and Latin name,Loganiaceae,Gentianales,,G
Stylidium,little pillar (the style and stamens form a column)[4],Stylidiaceae,Asterales,,G
Stylophorum,style-bearing,Papaveraceae,Ranunculales,,G
Styrax,"Greek and Latin name, from an Arabic name[4]",Styracaceae,Ericales,C,G
Succisa,truncated (the rhizome),Caprifoliaceae,Dipsacales,C,G
Swida,Czech name[d],Cornaceae,Cornales,,
Sycopsis,fig-like (the leaves),Hamamelidaceae,Saxifragales,C,G
Symphoricarpos,bearing fruit together (in clusters),Caprifoliaceae,Dipsacales,C,G
Symphytum,Greek and Latin name,Boraginaceae,Boraginales,C,G
Symplocarpus,combination fruit (the ovaries grow together),Araceae,Alismatales,,G
Symplocos,combination (the unified stamens)[4],Symplocaceae,Ericales,,G
Synechanthus,continuous flowers,Arecaceae,Arecales,,
Syngonium,united gonads (the ovaries),Araceae,Alismatales,,G
Syringa,pipe (the stems),Oleaceae,Lamiales,C,G
Syzygium,joined,Myrtaceae,Myrtales,,G
Tabebuia,Brazilian name,Bignoniaceae,Lamiales,,G
Tacca,from an Indonesian name,Dioscoreaceae,Dioscoreales,,G
Tagetes,Tages,Asteraceae,Asterales,C,G
Taiwania,Taiwan,Cupressaceae,Pinales,,G
Tamarindus,from an Arabic name,Fabaceae,Fabales,,G
Tamarix,Latin name[4],Tamaricaceae,Caryophyllales,C,G
Tanacetum,from a Medieval Latin name,Asteraceae,Asterales,C,G
Tapeinochilos,short lip,Costaceae,Zingiberales,,G
Taraxacum,from an Arabic and Persian name,Asteraceae,Asterales,,G
Taxodium,like Taxus,Cupressaceae,Pinales,C,G
Taxus,Latin name[4],Taxaceae,Pinales,C,G
Tecoma,from a Nahuatl name,Bignoniaceae,Lamiales,C,G
Tectona,from a Tamil name,Lamiaceae,Lamiales,,G
Tellima,anagram of Mitella,Saxifragaceae,Saxifragales,C,G
Telopea,seen from far away (the flowers),Proteaceae,Proteales,C,G
Telosma,scent from far away,Apocynaceae,Gentianales,,G
Tephrosia,ashen (the leaves),Fabaceae,Fabales,,G
Terminalia,Latin: terminal (the leaves are at the end of the shoots),Combretaceae,Myrtales,,G
Tetracentron,four spurs (on the fruit),Trochodendraceae,Trochodendrales,,G
