,Genus,Meaning or derivation,Family,Order,C,G
416,Chloris,Chloris,Poaceae,Poales,,G
417,Chlorogalum,green milk (the sap),Asparagaceae,Asparagales,,G
418,Chlorophytum,green plant,Asparagaceae,Asparagales,C,G
419,Chorizema,separated filaments (on the stamens),Fabaceae,Fabales,,G
420,Chrozophora,bearing (turnsole) dye,Euphorbiaceae,Malpighiales,,G
421,Chrysanthemum,gold flowers,Asteraceae,Asterales,C,G
422,Chrysobalanus,gold acorns[4],Chryso­balanaceae,Malpighiales,,G
423,Chrysocoma,gold hair,Asteraceae,Asterales,,G
424,Chrysogonum,"gold knees (yellow flowers, and the stems have joints)",Asteraceae,Asterales,C,G
425,Chrysopsis,like gold,Asteraceae,Asterales,,G
426,Chrysothamnus,gold shrub,Asteraceae,Asterales,,G
427,Chusquea,Colombian name,Poaceae,Poales,,G
428,Chysis,melting (the fused pollinia),Orchidaceae,Asparagales,,G
429,Cicer,Latin name,Fabaceae,Fabales,,G
430,Cicerbita,Italian name,Asteraceae,Asterales,C,G
431,Cichorium,Arabic and Greek name,Asteraceae,Asterales,C,G
432,Cicuta,Latin name,Apiaceae,Apiales,,G
433,Cineraria,ashen (the leaves),Asteraceae,Asterales,,G
434,Cinnamomum,Greek name,Lauraceae,Laurales,,G
435,Cipura,uncertain[d],Iridaceae,Asparagales,,G
436,Cirrhaea,tendril (the long rostella),Orchidaceae,Asparagales,,G
437,Cirsium,Greek name,Asteraceae,Asterales,,G
438,Cissus,Greek name,Vitaceae,Vitales,C,G
439,Cistus,Greek and Latin name[4],Cistaceae,Malvales,C,G
440,Citharexylum,lyre wood,Verbenaceae,Lamiales,,G
441,Citropsis,like Citrus,Rutaceae,Sapindales,,G
442,Citrullus,from Citrus,Cucurbitaceae,Cucurbitales,C,G
443,Citrus,Latin name,Rutaceae,Sapindales,C,G
444,Cladanthus,branch (-end) flowers,Asteraceae,Asterales,,G
445,Cladium,little branches,Cyperaceae,Poales,,G
446,Cladrastis,fragile twigs or shoots. Stearn's spelling is Cladastris.,Fabaceae,Fabales,C,G
447,Cleistocactus,closed cactus (the flowers),Cactaceae,Caryophyllales,,G
448,Clematis,Greek name,Ranunculaceae,Ranunculales,C,G
449,Clematoclethra,Clematis and Clethra,Actinidiaceae,Ericales,,G
450,Cleome,brilliance[4],Cleomaceae,Brassicales,,G
451,Clerodendrum,chance tree (the medical uses),Lamiaceae,Lamiales,C,G
452,Clethra,Greek name[4],Clethraceae,Ericales,C,G
453,Clianthus,brilliant flowers,Fabaceae,Fabales,C,G
454,Clitoria,Latin: clitoris,Fabaceae,Fabales,,G
455,Cneorum,Greek name,Rutaceae,Sapindales,,G
456,Cnicus,Greek name,Asteraceae,Asterales,,G
457,Coccinia,scarlet (the fruit),Cucurbitaceae,Cucurbitales,,G
458,Coccoloba,Greek name,Polygonaceae,Caryophyllales,,G
459,Coccothrinax,berry Thrinax,Arecaceae,Arecales,,
460,Cocculus,little berry (the fruit),Menispermaceae,Ranunculales,,G
461,Cochlearia,spoonlike (the lower leaves),Brassicaceae,Brassicales,,G
462,Cochliostema,Spiral male parts. Stearn's spelling is Cochleostema.,Commelinaceae,Commelinales,,
463,Cochlo­spermum,spiral seeds,Bixaceae,Malvales,,
464,Cocos,Portuguese: mask,Arecaceae,Arecales,,G
465,Codiaeum,Moluccan name,Euphorbiaceae,Malpighiales,C,G
466,Codonopsis,like a bell (the flowers),Campanulaceae,Asterales,C,G
467,Coelia,hollow,Orchidaceae,Asparagales,,
468,Coelogyne,hollow female parts,Orchidaceae,Asparagales,,G
469,Coffea,Arabic name,Rubiaceae,Gentianales,,G
470,Coix,Greek name,Poaceae,Poales,C,G
471,Cola,West African name,Malvaceae,Malvales,,G
472,Colchicum,Colchis[4],Colchicaceae,Liliales,C,G
473,Coleonema,sheath thread (the staminodes),Rutaceae,Sapindales,,G
474,Coleotrype,sheath hole,Commelinaceae,Commelinales,,G
475,Collomia,"glue (the seeds, which can be sticky)",Polemoniaceae,Ericales,,G
476,Colocasia,"Greek name, from Arabic",Araceae,Alismatales,C,G
477,Colutea,Greek name,Fabaceae,Fabales,C,G
478,Combretum,Latin name[4],Combretaceae,Myrtales,,G
479,Comesperma,hairy seeds,Polygalaceae,Fabales,,G
480,Conandron,cone stamens,Gesneriaceae,Lamiales,,
481,Conicosia,conical,Aizoaceae,Caryophyllales,,
482,Conium,Greek and Latin name,Apiaceae,Apiales,,G
483,Conophytum,cone plant,Aizoaceae,Caryophyllales,,G
484,Consolida,Medieval Latin name,Ranunculaceae,Ranunculales,,G
485,Convallaria,Latin: valley,Asparagaceae,Asparagales,C,G
486,Convolvulus,Latin: twining[4],Convolvulaceae,Solanales,C,G
487,Copaifera,Brazilian name,Fabaceae,Fabales,,G
488,Copiapoa,"Copiapó, Chile",Cactaceae,Caryophyllales,,G
489,Coprosma,dung smell (the leaves),Rubiaceae,Gentianales,C,G
490,Coptis,cutting (divisions of the leaves),Ranunculaceae,Ranunculales,,G
491,Corchorus,Greek name,Malvaceae,Malvales,,G
492,Cordyline,club (the roots),Asparagaceae,Asparagales,C,G
493,Corema,broom-like,Ericaceae,Ericales,,G
494,Coreopsis,like a bug (the seeds),Asteraceae,Asterales,C,G
495,Coriandrum,Greek and Latin name,Apiaceae,Apiales,C,G
496,Coriaria,Latin: leather (for tanning)[4],Coriariaceae,Cucurbitales,C,G
497,Cornus,Latin name[4],Cornaceae,Cornales,C,G
498,Corokia,Māori name,Argophyllaceae,Asterales,C,G
499,Coronilla,little crown (the flowers),Fabaceae,Fabales,C,G
500,Cortaderia,Argentine name,Poaceae,Poales,C,G
501,Coryanthes,helmet flowers,Orchidaceae,Asparagales,,G
502,Corydalis,crested lark (the spurs),Papaveraceae,Ranunculales,C,G
503,Corylopsis,like Corylus,Hamamelidaceae,Saxifragales,C,G
504,Corylus,Greek name,Betulaceae,Fagales,C,G
505,Corynocarpus,club fruit[4],Corynocarpaceae,Cucurbitales,,G
506,Corypha,summit (the highest fronds),Arecaceae,Arecales,,
507,Coryphantha,summit flowers,Cactaceae,Caryophyllales,,
508,Cosmos,ornament,Asteraceae,Asterales,C,G
509,Costus,Latin name[4],Costaceae,Zingiberales,,G
510,Cotinus,Greek name,Anacardiaceae,Sapindales,C,G
511,Cotoneaster,Greek and Latin name,Rosaceae,Rosales,C,G
512,Cotula,small cup (the leaves and flowerheads),Asteraceae,Asterales,C,G
513,Cotyledon,cup-shaped depression (the leaves),Crassulaceae,Saxifragales,C,G
514,Coutarea,Guyanese name,Rubiaceae,Gentianales,,
515,Crambe,Greek and Latin name,Brassicaceae,Brassicales,C,G
516,Craspedia,fringe (the pappus),Asteraceae,Asterales,,G
517,Crassula,Latin: little thick (the leaves)[4],Crassulaceae,Saxifragales,C,G
518,Crataegus,Greek name,Rosaceae,Rosales,C,G
519,Cremanthodium,hanging flowerheads,Asteraceae,Asterales,,G
520,Crepis,Greek and Latin name,Asteraceae,Asterales,C,G
521,Crinodendron,lily tree (the flowers),Elaeocarpaceae,Oxalidales,C,G
522,Crinum,Greek name,Amaryllidaceae,Asparagales,C,G
523,Crithmum,Greek name,Apiaceae,Apiales,,G
524,Crocosmia,Crocus scent,Iridaceae,Asparagales,C,G
525,Crocus,"Greek name, from a Semitic name",Iridaceae,Asparagales,C,G
526,Crossandra,fringed male parts,Acanthaceae,Lamiales,,G
527,Crotalaria,rattle (the sound of the seed pods),Fabaceae,Fabales,,G
528,Croton,tick (the seeds),Euphorbiaceae,Malpighiales,,G
529,Crucianella,little cross (the crosswise leaves),Rubiaceae,Gentianales,,G
530,Crupina,Belgian or Dutch name,Asteraceae,Asterales,,
531,Cryptantha,hidden flowers,Bromeliaceae,Poales,,G
532,Cryptanthus,hidden (lower parts of the) flowers,Bromeliaceae,Poales,,G
533,Cryptocoryne,hidden club (the spadix),Araceae,Alismatales,,G
534,Cryptomeria,hidden parts,Cupressaceae,Pinales,C,G
535,Cryptostegia,hidden cover (scales inside the corolla),Apocynaceae,Gentianales,,G
536,Cucumis,Latin name,Cucurbitaceae,Cucurbitales,C,G
537,Cucurbita,Latin name[4],Cucurbitaceae,Cucurbitales,C,G
538,Cuminum,Greek name,Apiaceae,Apiales,,G
539,Cunila,Latin name,Lamiaceae,Lamiales,,G
540,Cuphea,curved (the seed pods),Lythraceae,Myrtales,C,G
541,Cupressus,Greek and Latin name[4],Cupressaceae,Pinales,C,G
542,Curculigo,Latin: weevil-like (the ovaries),Hypoxidaceae,Asparagales,,G
543,Curcuma,Arabic name,Zingiberaceae,Zingiberales,,G
544,Cuscuta,Medieval Latin name,Convolvulaceae,Solanales,,G
545,Cyananthus,blue flowers,Campanulaceae,Asterales,C,G
546,Cyanella,blue,Tecophilaeaceae,Asparagales,,G
547,Cyanotis,blue ear (the petals),Commelinaceae,Commelinales,,G
548,Cyathodes,cup-like,Ericaceae,Ericales,,G
549,Cycas,Greek name[4],Cycadaceae,Cycadales,C,G
550,Cyclamen,Greek name,Primulaceae,Ericales,C,G
551,Cyclanthera,circle of anthers,Cucurbitaceae,Cucurbitales,,G
552,Cyclanthus,circle of flowers[4],Cyclanthaceae,Pandanales,,G
553,Cyclopia,circle foot (the base of the calyx),Fabaceae,Fabales,,
554,Cydonia,Greek and Latin name,Rosaceae,Rosales,C,G
555,Cymbalaria,like a cymbal (the leaves),Plantaginaceae,Lamiales,C,G
556,Cymbidium,boat-shaped (the lips),Orchidaceae,Asparagales,C,G
557,Cymbopogon,boat-beard (the spikelets),Poaceae,Poales,,G
558,Cynanchum,dog-strangling (the poisonous herbs),Apocynaceae,Gentianales,,G
559,Cynara,Greek and Latin name,Asteraceae,Asterales,C,G
560,Cynodon,dog tooth (the blades),Poaceae,Poales,,G
561,Cynoglossum,dog tongue (the leaves),Boraginaceae,Boraginales,C,G
562,Cypella,chalice (the flowers),Iridaceae,Asparagales,,G
563,Cyperus,Greek name[4],Cyperaceae,Poales,C,G
564,Cypripedium,Aphrodite's slipper (the flowers),Orchidaceae,Asparagales,C,G
565,Cyrtanthus,arched flowers,Amaryllidaceae,Asparagales,C,G
566,Cyrtopodium,arched foot (the lips),Orchidaceae,Asparagales,,
567,Cyrtostachys,arched spikes,Arecaceae,Arecales,,
568,Cytisus,Greek name,Fabaceae,Fabales,C,G
569,Dacrydium,teardrop (the resin),Podocarpaceae,Pinales,C,G
570,Dactylis,Greek and Latin name[c],Poaceae,Poales,C,G
571,Dactylorhiza,finger root (the tubers),Orchidaceae,Asparagales,C,
572,Daemonorops,demon shrub (the sharp hooks),Arecaceae,Arecales,,G
573,Dais,torch (the flower heads),Thymelaeaceae,Malvales,,G
574,Damasonium,Greek name,Alismataceae,Alismatales,,G
575,Danae,Danaë,Asparagaceae,Asparagales,C,G
576,Daphne,Daphne,Thymelaeaceae,Malvales,C,G
577,Daphniphyllum,leaves like Daphne[4],Daphniphyllaceae,Saxifragales,C,G
578,Dasylirion,thick lily,Asparagaceae,Asparagales,C,G
579,Datisca,Greek and Latin name[4],Datiscaceae,Cucurbitales,C,G
580,Datura,Sanskrit and Arabic name,Solanaceae,Solanales,C,G
581,Daucus,Latin name,Apiaceae,Apiales,C,G
582,Decodon,ten teeth (on the calyx),Lythraceae,Myrtales,,G
583,Decumaria,ten (flower parts),Hydrangeaceae,Cornales,C,G
584,Deinanthe,amazing flowers,Hydrangeaceae,Cornales,,G
585,Delonix,prominent claw (on the petals),Fabaceae,Fabales,,G
586,Delosperma,visible seeds (inside the capsule),Aizoaceae,Caryophyllales,C,G
587,Delostoma,visible mouth (the open flowers),Bignoniaceae,Lamiales,,G
588,Delphinium,Greek name,Ranunculaceae,Ranunculales,C,G
589,Dendrobium,tree life (growing on trees),Orchidaceae,Asparagales,,G
590,Dendrocalamus,tree reed,Poaceae,Poales,,G
591,Dendrochilum,tree lips,Orchidaceae,Asparagales,,G
592,Dendromecon,tree poppy,Papaveraceae,Ranunculales,C,G
593,Dendropanax,tree Panax,Araliaceae,Apiales,,G
594,Denmoza,"anagram of Mendoza, a province of Argentina",Cactaceae,Caryophyllales,,
595,Derris,leather covering (the seed pods),Fabaceae,Fabales,,
596,Desmanthus,bundled flower (the clusters),Fabaceae,Fabales,C,G
597,Desmodium,chain (the fruit),Fabaceae,Fabales,C,G
598,Desmoncus,chain hook (the leaf tips),Arecaceae,Arecales,,G
599,Dianella,little Diana,Asphodelaceae,Asparagales,C,G
600,Dianthus,Greek name,Caryophyllaceae,Caryophyllales,C,G
601,Diapensia,Greek name[4],Diapensiaceae,Ericales,,G
602,Diascia,two sacs (on the flowers),Scrophulariaceae,Lamiales,C,G
603,Dicentra,two spurs (on the flowers),Papaveraceae,Ranunculales,C,G
604,Dichondra,two lumps (the capsules),Convolvulaceae,Solanales,,G
605,Dichorisandra,two separate male parts (the two stamens that diverge),Commelinaceae,Commelinales,,G
606,Dichroa,two colours (the flowers),Hydrangeaceae,Cornales,C,G
607,Dicliptera,double-folding wings (within the capsules),Acanthaceae,Lamiales,C,G
608,Dicranostigma,forked stigmas,Papaveraceae,Ranunculales,,G
609,Dictamnus,Greek name,Rutaceae,Sapindales,C,G
610,Dictyosperma,net seeds,Arecaceae,Arecales,,G
611,Didymocarpus,double fruit (the separable capsule),Gesneriaceae,Lamiales,,G
612,Dierama,funnel (the flowers),Iridaceae,Asparagales,C,G
613,Digitalis,derived from Latin: finger (the flowers),Plantaginaceae,Lamiales,C,G
614,Dimorphotheca,two shapes of containers (the achenes),Asteraceae,Asterales,,G
615,Dionaea,Dione,Droseraceae,Caryophyllales,C,G
616,Dioon,two-egged (the pairs of seeds),Zamiaceae,Cycadales,,G
617,Diosma,divine scent,Rutaceae,Sapindales,,G
618,Diospyros,Greek name,Ebenaceae,Ericales,C,G
619,Dipcadi,Turkish name,Asparagaceae,Asparagales,,G
620,Diphylleia,two leaves,Berberidaceae,Ranunculales,,G
621,Diplarrena,two male parts (the fertile stamens). Previously Diplarrhena.,Iridaceae,Asparagales,C,G
622,Diploglottis,double-tongued (petal scales),Sapindaceae,Sapindales,,
623,Dipsacus,thirst (some leaves collect water),Caprifoliaceae,Dipsacales,C,G
624,Dipteronia,two-winged (fruit),Sapindaceae,Sapindales,,G
625,Dirca,fountain of Dirce (the wet habitats),Thymelaeaceae,Malvales,,G
626,Disa,Disa,Orchidaceae,Asparagales,,G
627,Disanthus,paired flowers,Hamamelidaceae,Saxifragales,C,G
628,Discaria,disc (on the flowers),Rhamnaceae,Rosales,,G
629,Discocactus,disc cactus,Cactaceae,Caryophyllales,,
630,Disocactus,co-equal cactus (there are as many sepals as petals),Cactaceae,Caryophyllales,,
631,Disporum,two seeds,Colchicaceae,Liliales,C,G
632,Distylium,two styles,Hamamelidaceae,Saxifragales,,G
633,Diuris,two tails (the two longest sepals),Orchidaceae,Asparagales,,G
634,Docynia,anagram of Cydonia,Rosaceae,Rosales,,G
635,Dolichandra,long male parts,Bignoniaceae,Lamiales,,
636,Dolichos,Greek and Latin name,Fabaceae,Fabales,,G
637,Donax,Greek and Latin name,Marantaceae,Zingiberales,,G
638,Doronicum,Arabic name,Asteraceae,Asterales,C,G
639,Doryanthes,spear (-stemmed) flowers[4],Doryanthaceae,Asparagales,,G
640,Dovyalis,(unclear),Salicaceae,Malpighiales,,
641,Draba,Greek name,Brassicaceae,Brassicales,,G
642,Dracaena,dragon,Asparagaceae,Asparagales,C,G
643,Dracocephalum,dragon head (the flowers),Lamiaceae,Lamiales,,G
644,Dracula,little dragon,Orchidaceae,Asparagales,,G
645,Dracunculus,little dragon (the spathe). Latin name.,Araceae,Alismatales,C,G
646,Drimia,pungent,Asparagaceae,Asparagales,,G
647,Drimiopsis,like Drimia,Asparagaceae,Asparagales,,G
648,Drimys,pungent,Winteraceae,Canellales,C,G
649,Drosanthemum,dew flowers,Aizoaceae,Caryophyllales,,G
650,Drosera,dew (the secretions)[4],Droseraceae,Caryophyllales,,G
651,Dryas,dryad,Rosaceae,Rosales,C,G
652,Drypis,Greek name,Caryophyllaceae,Caryophyllales,,G
653,Durio,Malayan name,Malvaceae,Malvales,,G
654,Dyschoriste,"hard to separate, or hardly separated",Acanthaceae,Lamiales,,G
655,Dysosma,bad smell,Berberidaceae,Ranunculales,C,
656,Dysoxylum,bad wood (the smell),Meliaceae,Sapindales,,
657,Ebenus,Greek and Latin name[4],Fabaceae,Fabales,,G
658,Ecballium,ejection (the ripe seeds are forcefully ejected),Cucurbitaceae,Cucurbitales,,G
659,Eccremocarpus,hanging fruit,Bignoniaceae,Lamiales,C,G
660,Echidnopsis,viper-like (the stems),Apocynaceae,Gentianales,,
661,Echinacea,hedgehog (the spiny scales)[d],Asteraceae,Asterales,C,G
662,Echinocactus,hedgehog cactus,Cactaceae,Caryophyllales,,G
663,Echinocereus,hedgehog Cereus (the spiny fruit),Cactaceae,Caryophyllales,,G
664,Echinochloa,hedgehog grass,Poaceae,Poales,,G
665,Echinocystis,hedgehog bladder (the fruit),Cucurbitaceae,Cucurbitales,,
666,Echinodorus,hedgehog bag or spear,Alismataceae,Alismatales,,G
667,Echinops,hedgehog-like (the thistle's flower heads),Asteraceae,Asterales,C,G
668,Echinopsis,hedgehog-like (the round cactus),Cactaceae,Caryophyllales,,
669,Echites,"viper (the poisonous, entwining branches)",Apocynaceae,Gentianales,,G
670,Echium,Greek name,Boraginaceae,Boraginales,C,G
671,Edraianthus,sitting (sessile) flowers,Campanulaceae,Asterales,,G
672,Elaeagnus,Greek name[4],Elaeagnaceae,Rosales,C,G
673,Elaeis,olive (oil),Arecaceae,Arecales,,G
674,Elaeocarpus,olive (oil) fruit[4],Elaeocarpaceae,Oxalidales,,G
675,Elaeodendron,olive tree,Celastraceae,Celastrales,,
676,Elatine,Greek and Latin name[4],Elatinaceae,Malpighiales,,G
677,Elatostema,springing male parts (the erect stamens),Urticaceae,Rosales,,G
678,Elettaria,Malabar name,Zingiberaceae,Zingiberales,,G
679,Eleusine,Eleusis (and its temple),Poaceae,Poales,,G
680,Elodea,marshy,Hydrocharitaceae,Alismatales,,G
681,Elymus,Greek name,Poaceae,Poales,C,G
682,Embothrium,in a little pit (the anthers),Proteaceae,Proteales,C,G
683,Emilia,(unknown),Asteraceae,Asterales,,G
684,Emmenanthe,lasting flowers,Hydrophyllaceae,Boraginales,,
685,Emmenopterys,lasting wing (part of the calyx),Rubiaceae,Gentianales,,G
686,Empetrum,(living) on rocks. Greek name.,Ericaceae,Ericales,,G
687,Encelia,(obscure),Asteraceae,Asterales,,G
688,Encephalartos,"in-head-bread (the mealy, edible tops of the trunks)",Zamiaceae,Cycadales,,G
689,Enkianthus,pregnant flower (the flowers of first species named are surrounded by petal-like bracts),Ericaceae,Ericales,C,G
690,Entada,Malabar name,Fabaceae,Fabales,,G
691,Entelea,complete (the fertile stamens),Malvaceae,Malvales,,G
