,Genus,Meaning or derivation,Family,Order,C,G
964,Lepidium,Greek and Latin name,Brassicaceae,Brassicales,,G
965,Lepismium,scales (around the areoles),Cactaceae,Caryophyllales,,
966,Leptodermis,thin skin (the bracteoles),Rubiaceae,Gentianales,,G
967,Leptopyrum,slender grain (the fruits),Ranunculaceae,Ranunculales,,
968,Leptospermum,slender seeds,Myrtaceae,Myrtales,C,G
969,Leptotes,"delicacy (the thin, terete leaves)",Orchidaceae,Asparagales,,G
970,Leucadendron,white tree (the leaves),Proteaceae,Proteales,,G
971,Leucaena,white (the flowers),Fabaceae,Fabales,,G
972,Leucanthemum,white flowers,Asteraceae,Asterales,C,G
973,Leucheria,white,Asteraceae,Asterales,,G
974,Leucocoryne,white club (the staminodes),Amaryllidaceae,Asparagales,,G
975,Leucocrinum,white Crinum,Asparagaceae,Asparagales,,G
976,Leucojum,white and violet,Amaryllidaceae,Asparagales,C,G
977,Leucothoe,Greek mythological name,Ericaceae,Ericales,C,G
978,Levisticum,Latin: (medicinal) relief,Apiaceae,Apiales,C,G
979,Liatris,uncertain; possibly booty or bald[6],Asteraceae,Asterales,C,G
980,Libocedrus,teardrop Cedrus (cedar resin),Cupressaceae,Pinales,,G
981,Licuala,Moluccan name,Arecaceae,Arecales,,G
982,Ligularia,Latin: strap (the ray florets),Asteraceae,Asterales,C,G
983,Ligusticum,Greek name,Apiaceae,Apiales,C,G
984,Ligustrum,Latin name,Oleaceae,Lamiales,C,G
985,Lilium,Latin name[4],Liliaceae,Liliales,C,G
986,Limnanthes,marsh flowers[4],Limnanthaceae,Brassicales,,G
987,Limnobium,marsh life,Hydrocharitaceae,Alismatales,,
988,Limnocharis,marsh beauty,Alismataceae,Alismatales,,G
989,Limonium,Meadow. Greek name.[5][6],Plumbaginaceae,Caryophyllales,C,G
990,Linanthus,Linum (flax) flowers,Polemoniaceae,Ericales,,G
991,Linaria,Linum-like,Plantaginaceae,Lamiales,C,G
992,Linum,Latin name,Linaceae,Malpighiales,C,G
993,Liparis,oily (the leaves),Orchidaceae,Asparagales,,G
994,Liquidambar,Latin: liquid amber (the resin),Altingiaceae,Saxifragales,C,G
995,Liriodendron,lily tree,Magnoliaceae,Magnoliales,C,G
996,Liriope,Greek mythological name,Asparagaceae,Asparagales,C,G
997,Litchi,Chinese name,Sapindaceae,Sapindales,,G
998,Lithocarpus,stone fruit (the nuts),Fagaceae,Fagales,C,G
999,Lithodora,stone gift (rocky habitat),Boraginaceae,Boraginales,C,G
1000,Lithophragma,"stone wall. Possibly an error,[7] but some species do grow in stone walls.[6]",Saxifragaceae,Saxifragales,,G
1001,Lithops,stony appearance,Aizoaceae,Caryophyllales,C,G
1002,Lithospermum,stone seeds. Latin name.,Boraginaceae,Boraginales,,G
1003,Lithraea,Chilean name,Anacardiaceae,Sapindales,,
1004,Litsea,Chinese name,Lauraceae,Laurales,,G
1005,Loasa,probably a South American name[4],Loasaceae,Cornales,,G
1006,Lobularia,Greek and Latin: little pods,Brassicaceae,Brassicales,C,G
1007,Lolium,Latin name,Poaceae,Poales,,G
1008,Lomatia,with borders (the seed margins),Apiaceae,Apiales,C,G
1009,Lonas,unknown,Asteraceae,Asterales,,
1010,Lonchocarpus,lance fruit,Fabaceae,Fabales,,G
1011,Lophophora,crest-bearing (the tufts),Cactaceae,Caryophyllales,,G
1012,Loropetalum,strap petals,Hamamelidaceae,Saxifragales,C,G
1013,Lotus,Greek name,Fabaceae,Fabales,C,G
1014,Luculia,Nepalese name,Rubiaceae,Gentianales,,G
1015,Luffa,Arabic name,Cucurbitaceae,Cucurbitales,,G
1016,Lunaria,Latin: moon-like (the seed pods),Brassicaceae,Brassicales,C,G
1017,Lupinus,Latin name,Fabaceae,Fabales,C,G
1018,Luzula,"possibly Latin: small light (from the dewy sparkle), or yellowish, or Italian for a bioluminescent insect",Juncaceae,Poales,C,G
1019,Lycaste,uncertain,Orchidaceae,Asparagales,,G
1020,Lycium,Greek and Latin name for a shrub from Lycia,Solanaceae,Solanales,C,G
1021,Lycopus,wolf feet (the leaves),Lamiaceae,Lamiales,C,G
1022,Lysichiton,dissolving cloak (the spathes),Araceae,Alismatales,C,G
1023,Lysionotus,releasing in the back (the capsule suture),Gesneriaceae,Lamiales,,G
1024,Lythrum,bloody (the flowers)[4],Lythraceae,Myrtales,C,G
1025,Macradenia,long gland (pollen stalks),Orchidaceae,Asparagales,,G
